,tissue
GTEX-11WQC-1726-SM-5GU4W,BREAST
GTEX-145LT-1726-SM-5QGP3,SKIN
GTEX-RUSQ-0226-SM-47JWT,ADRENAL GLAND
GTEX-NPJ8-0011-R1a-SM-2HMLC,BRAIN
GTEX-P44H-0011-R8A-SM-2XCEL,BRAIN
GTEX-N7MS-0011-R4a-SM-2HMKW,BRAIN
GTEX-12ZZW-0011-R5a-SM-5DUVN,BRAIN
GTEX-11EQ9-1226-SM-5987E,STOMACH
GTEX-S4P3-0008-SM-3NM8R,SKIN
GTEX-YJ89-0126-SM-4TT3X,SKIN
GTEX-Q2AI-1126-SM-48U19,PROSTATE
GTEX-U8XE-2526-SM-4E3IT,PROSTATE
GTEX-ZF29-1526-SM-4WKF7,STOMACH
GTEX-13112-1426-SM-5EGH8,LIVER
GTEX-11LCK-2326-SM-5HL53,TESTIS
GTEX-13NZA-0011-R10b-SM-5KM54,BRAIN
GTEX-11EI6-1526-SM-5P9GL,ESOPHAGUS
GTEX-13PDP-0126-SM-5L3HD,SKIN
GTEX-WYJK-0008-SM-4ONDV,SKIN
GTEX-11DXX-1526-SM-5H115,UTERUS
GTEX-11EQ9-0126-SM-5986I,ADRENAL GLAND
GTEX-PWCY-1826-SM-5SI7U,SKIN
GTEX-14BIM-0011-R5b-SM-5S2RM,BRAIN
GTEX-14DAQ-1626-SM-5S2R1,ESOPHAGUS
GTEX-11ONC-2926-SM-5P9JM,BRAIN
GTEX-132Q8-0011-R1a-SM-5EGLK,BRAIN
GTEX-13OW6-0726-SM-5L3FX,THYROID
GTEX-ZE9C-0011-R5a-SM-5EGLO,BRAIN
GTEX-13O1R-2026-SM-5KM3N,LIVER
GTEX-13NZ8-1226-SM-5KM4A,SKIN
GTEX-12WS9-0011-R4b-SM-5P9EU,BRAIN
GTEX-PSDG-1426-SM-48TD1,ESOPHAGUS
GTEX-11ZTS-1426-SM-5EQMM,LIVER
GTEX-11P81-0826-SM-5P9GR,ESOPHAGUS
GTEX-11TT1-0626-SM-5GU4X,ESOPHAGUS
GTEX-13O21-0726-SM-5L3EG,ESOPHAGUS
GTEX-WRHU-0326-SM-3MJFY,BREAST
GTEX-14753-0626-SM-5Q5CY,TESTIS
GTEX-QCQG-1726-SM-3GIJ9,SKIN
GTEX-133LE-0526-SM-5N9EJ,LUNG
GTEX-ZP4G-1426-SM-4WWCL,SKIN
GTEX-Q2AG-1026-SM-33HBW,LUNG
K-562-SM-5IFHC,BONE MARROW
GTEX-11DXX-0226-SM-5P9HL,THYROID
K-562-SM-3DB9M,BONE MARROW
GTEX-RWS6-1026-SM-47JXD,OVARY
GTEX-14C38-0726-SM-5SI6M,SKIN
GTEX-131XH-0011-R8a-SM-5EGLL,BRAIN
GTEX-ZYY3-0826-SM-5E44R,PANCREAS
GTEX-11WQK-3126-SM-5EGI2,BRAIN
GTEX-QESD-0626-SM-2I5G4,LUNG
GTEX-11WQK-1826-SM-5EQM2,ESOPHAGUS
GTEX-14ABY-0726-SM-5Q5DF,PROSTATE
GTEX-T5JC-0826-SM-5S2SN,LUNG
GTEX-11NUK-2426-SM-5BC4U,STOMACH
GTEX-OOBK-2025-SM-3LK5S,PROSTATE
GTEX-XPVG-2226-SM-4B65U,TESTIS
GTEX-ZYFC-0426-SM-5GICQ,SKIN
GTEX-QV44-1126-SM-4R1KO,ESOPHAGUS
GTEX-U3ZM-0126-SM-3DB8M,THYROID
GTEX-11NSD-0626-SM-5A5LU,SKIN
GTEX-T5JC-1526-SM-4DM68,KIDNEY
GTEX-P78B-0008-SM-48TE1,SKIN
GTEX-14BIN-0011-R2a-SM-5S2RJ,BRAIN
GTEX-11ILO-0126-SM-5A5LN,SKIN
GTEX-WK11-1126-SM-4OOSJ,ESOPHAGUS
GTEX-ZE9C-1426-SM-4WKGM,KIDNEY
GTEX-Y5V5-0126-SM-5S2NW,SKIN
GTEX-ZZ64-1126-SM-5GZXY,TESTIS
GTEX-S7SE-0726-SM-2XCD7,THYROID
GTEX-1269C-2526-SM-5EGJ3,SKIN
GTEX-X585-1026-SM-46MW6,LUNG
GTEX-1399U-1726-SM-5P9J4,OVARY
GTEX-RVPV-0011-R11A-SM-2TF6F,BRAIN
GTEX-132Q8-0011-R11b-SM-5DUW9,BRAIN
GTEX-14BMU-0226-SM-5S2QA,THYROID
GTEX-YJ89-0011-R6a-SM-4V6GN,BRAIN
GTEX-13112-2826-SM-5DUWH,SKIN
GTEX-13112-0011-R4b-SM-5DUXL,BRAIN
GTEX-OIZG-0726-SM-33HBL,SKIN
GTEX-PW2O-1426-SM-48TCD,TESTIS
GTEX-ZTPG-0008-SM-4YCEK,SKIN
GTEX-YFCO-1026-SM-5LU9S,PANCREAS
GTEX-QVJO-0011-R10A-SM-2S1QJ,BRAIN
GTEX-13G51-0011-R2b-SM-5LZXS,BRAIN
GTEX-11DXX-1126-SM-5GZZK,ESOPHAGUS
GTEX-12WSC-0011-R7b-SM-5LU9L,BRAIN
GTEX-WEY5-1126-SM-4LMIE,ESOPHAGUS
GTEX-13OVJ-0011-R5a-SM-5P9H7,BRAIN
GTEX-P44G-2426-SM-2I5ER,BRAIN
GTEX-1269C-1026-SM-5N9EY,ESOPHAGUS
GTEX-11P7K-1026-SM-5HL6Y,TESTIS
GTEX-XAJ8-1326-SM-47JYT,TESTIS
GTEX-13X6K-0011-R8b-SM-5PNZ4,BRAIN
GTEX-QCQG-0126-SM-48U27,ADRENAL GLAND
GTEX-147F4-2626-SM-5Q5CS,KIDNEY
GTEX-ZYWO-1926-SM-5E456,OVARY
GTEX-111CU-0626-SM-5EGHL,ESOPHAGUS
GTEX-ZQG8-2226-SM-5DUWD,ESOPHAGUS
GTEX-NPJ7-0011-R1a-SM-3GACT,BRAIN
GTEX-WVLH-0011-R4A-SM-3MJFS,BRAIN
GTEX-X4XX-0011-R4B-SM-46MWL,BRAIN
GTEX-ZAB5-2626-SM-5KM3Y,SKIN
GTEX-13OW5-3126-SM-5MR3Y,BRAIN
GTEX-PWN1-2626-SM-2I3FH,THYROID
GTEX-SNMC-0008-SM-4DM5A,SKIN
GTEX-NPJ8-0011-R4a-SM-2HML3,BRAIN
GTEX-132QS-1526-SM-5J2MV,ESOPHAGUS
K-562-SM-5HL7A,BONE MARROW
GTEX-1399U-1226-SM-5K7XT,ESOPHAGUS
GTEX-11GSP-3126-SM-5A5LL,BRAIN
GTEX-Y9LG-0626-SM-4WWDH,ESOPHAGUS
GTEX-132NY-1226-SM-5PNVF,LUNG
GTEX-ZF29-2026-SM-4WWB7,LIVER
GTEX-O5YW-0126-SM-3LK6D,SKIN
GTEX-UJMC-0008-SM-4IHKK,SKIN
GTEX-PX3G-1326-SM-48U18,ADRENAL GLAND
GTEX-Q2AG-0011-R2A-SM-2HMIT,BRAIN
GTEX-X261-0011-R6B-SM-4E3J8,BRAIN
GTEX-T2IS-2026-SM-4DM6W,OVARY
GTEX-OHPM-2126-SM-3LK75,TESTIS
GTEX-NPJ8-0011-R7a-SM-2HMJV,BRAIN
GTEX-13X6H-1626-SM-5Q5CT,STOMACH
GTEX-144GM-0826-SM-5O98R,PROSTATE
GTEX-13JVG-3126-SM-5L3FH,BRAIN
GTEX-REY6-1326-SM-48FDO,ESOPHAGUS
GTEX-T2IS-0011-R11A-SM-32QPC,BRAIN
GTEX-1192W-0126-SM-5EGGS,THYROID
GTEX-TKQ2-1526-SM-4DXUN,TESTIS
GTEX-1399R-0526-SM-5IJEF,PROSTATE
GTEX-1314G-1326-SM-5BC6E,SKIN
GTEX-UPK5-1226-SM-4IHL8,ESOPHAGUS
GTEX-XOTO-0126-SM-4B66N,SKIN
GTEX-13OW6-2526-SM-5IJEC,STOMACH
GTEX-NPJ7-0011-R8a-SM-2I3G2,BRAIN
GTEX-13NYB-1026-SM-5IFH3,LIVER
GTEX-13JVG-1426-SM-5MR4W,LUNG
GTEX-QDT8-1326-SM-48TYY,ESOPHAGUS
GTEX-ZVZQ-0011-R4b-SM-57WCZ,BRAIN
GTEX-13O21-0626-SM-5IJDI,ESOPHAGUS
GTEX-145MI-1126-SM-5O9AK,THYROID
GTEX-11DXX-1026-SM-5H11E,ESOPHAGUS
GTEX-WHSB-0526-SM-4M1XM,ESOPHAGUS
GTEX-12696-1326-SM-5FQTJ,ESOPHAGUS
GTEX-ZDYS-0826-SM-4WWCR,ESOPHAGUS
GTEX-XQ8I-1926-SM-4BOOK,PANCREAS
GTEX-14ASI-2926-SM-5Q5DG,BRAIN
GTEX-13NYC-0126-SM-5L3F4,SKIN
GTEX-QEG4-0526-SM-48TZD,LUNG
GTEX-13N1W-0011-R1b-SM-5MR4T,BRAIN
GTEX-X4XX-0926-SM-46MV7,THYROID
GTEX-13N1W-2626-SM-5IJEP,TESTIS
GTEX-S33H-0008-SM-4AD6C,SKIN
GTEX-14A5H-0426-SM-5QGQF,SKIN
GTEX-QLQ7-1026-SM-447BB,ESOPHAGUS
GTEX-T6MN-0011-R2A-SM-32QOW,BRAIN
GTEX-145LS-0011-R7a-SM-5PNWM,BRAIN
GTEX-NPJ7-0011-R6a-SM-2I3G7,BRAIN
GTEX-WI4N-2526-SM-4OOSE,OVARY
GTEX-XLM4-0011-R8A-SM-4AT44,BRAIN
GTEX-12ZZZ-0926-SM-5N9EQ,ADRENAL GLAND
GTEX-ZVT3-0008-SM-51MRI,SKIN
GTEX-13X6I-0626-SM-5QGP9,SKIN
GTEX-13SLX-0011-R10a-SM-5P9HV,BRAIN
GTEX-S4Q7-0326-SM-3K2B1,THYROID
GTEX-S4Q7-1126-SM-4AD6R,BREAST
GTEX-S4P3-0726-SM-4AD57,STOMACH
GTEX-ZVT3-2926-SM-5GU6M,BRAIN
GTEX-11DXX-1426-SM-5GIDU,OVARY
GTEX-13OVI-2726-SM-5KM56,SKIN
GTEX-OIZG-0008-SM-4E3J2,SKIN
GTEX-1445S-0011-R6b-SM-5PNUF,BRAIN
GTEX-R53T-0326-SM-48FEC,LIVER
GTEX-13OW6-0011-R6b-SM-5L3GR,BRAIN
GTEX-PLZ5-0926-SM-4RGM9,ESOPHAGUS
GTEX-RU1J-0626-SM-4WAWY,BREAST
GTEX-11EM3-1026-SM-5A5KL,STOMACH
GTEX-12ZZY-3026-SM-5GCOU,BRAIN
GTEX-13113-0126-SM-5LZVX,THYROID
GTEX-13NYS-0011-R6b-SM-5MR3R,BRAIN
GTEX-1399S-2126-SM-5J2MH,OVARY
GTEX-QDVN-1926-SM-48TZ8,TESTIS
GTEX-XYKS-1326-SM-4BRUN,BREAST
GTEX-X8HC-2726-SM-46MUA,OVARY
GTEX-12WSK-2326-SM-5GCOH,SKIN
GTEX-11NV4-0011-R7a-SM-57WDH,BRAIN
GTEX-145MH-0011-R7a-SM-5PNWH,BRAIN
GTEX-PVOW-1026-SM-2XCF9,LUNG
GTEX-WCDI-0008-SM-47JYE,SKIN
GTEX-TSE9-0008-SM-4DXT8,SKIN
GTEX-145MF-1426-SM-5O9B6,ESOPHAGUS
GTEX-117YW-2026-SM-5N9BH,ESOPHAGUS
GTEX-13FHP-1626-SM-5N9FK,ESOPHAGUS
GTEX-13U4I-1526-SM-5IFFF,PANCREAS
GTEX-XV7Q-1126-SM-4BRVS,ESOPHAGUS
GTEX-11EQ9-0926-SM-5HL6I,ESOPHAGUS
GTEX-O5YV-0526-SM-2D7VZ,LUNG
GTEX-13CZV-0011-R3a-SM-5KM27,BRAIN
GTEX-NFK9-1626-SM-3LK5J,PANCREAS
GTEX-XMD3-0008-SM-4AT4V,SKIN
GTEX-11DXY-1526-SM-5H129,ESOPHAGUS
GTEX-11UD2-1526-SM-5EQLQ,ESOPHAGUS
GTEX-Y9LG-1826-SM-4VBQC,PROSTATE
GTEX-ZVP2-1626-SM-5GU5D,STOMACH
GTEX-ZUA1-0011-R6b-SM-4YCDD,BRAIN
GTEX-ZVZP-1026-SM-5GICI,THYROID
GTEX-13NYB-0626-SM-5MR47,LUNG
GTEX-ZYFG-1326-SM-5GICJ,STOMACH
GTEX-OXRO-0011-R9A-SM-5S2W3,BRAIN
GTEX-145MG-3126-SM-5Q5D3,BRAIN
GTEX-14A5I-2926-SM-5Q5CQ,BRAIN
GTEX-PVOW-0011-R3A-SM-32PKX,BRAIN
GTEX-XXEK-1226-SM-4BRUY,PROSTATE
GTEX-PSDG-0226-SM-33HC1,SKIN
GTEX-13OVJ-0011-R8b-SM-5L3FS,BRAIN
GTEX-XXEK-1326-SM-5S2SJ,THYROID
GTEX-WZTO-0126-SM-3NM95,SKIN
GTEX-111YS-0726-SM-5GZY8,THYROID
GTEX-XUW1-0926-SM-4BONX,SKIN
GTEX-S7PM-0008-SM-3NM9Q,SKIN
GTEX-13X6J-0011-R3b-SM-5P9K5,BRAIN
GTEX-12WSH-0011-R1a-SM-5GU5V,BRAIN
GTEX-ZF28-0011-R3a-SM-4WWDA,BRAIN
GTEX-T8EM-1026-SM-3DB7M,SKIN
GTEX-11ZU8-0126-SM-5EQ58,SKIN
GTEX-X8HC-1526-SM-46MWD,ESOPHAGUS
GTEX-131XW-0011-R6b-SM-5K7XY,BRAIN
GTEX-ZUA1-0926-SM-4YCDX,THYROID
GTEX-XQ8I-0426-SM-4BOPO,SKIN
GTEX-V1D1-1926-SM-4JBGX,PROSTATE
GTEX-ZPCL-1326-SM-57WFN,ESOPHAGUS
GTEX-RWS6-0226-SM-2XCA9,LUNG
GTEX-13OVJ-0011-R1b-SM-5L3I6,BRAIN
GTEX-UPIC-0626-SM-4IHK2,ESOPHAGUS
GTEX-1445S-0011-R8a-SM-5PNWX,BRAIN
GTEX-131XW-0626-SM-5PNVD,SKIN
GTEX-NPJ8-2226-SM-3TW8D,KIDNEY
GTEX-117YW-2926-SM-5GIEQ,BRAIN
GTEX-OHPK-2626-SM-2HMK9,THYROID
K-562-SM-5LZU1,BONE MARROW
GTEX-ZTPG-0326-SM-5O9AX,SKIN
GTEX-13O1R-0126-SM-5L3EH,SKIN
GTEX-13N2G-1826-SM-5KM1I,PROSTATE
GTEX-O5YT-0826-SM-3TW8N,LIVER
GTEX-13X6I-1826-SM-5SIAO,SKIN
GTEX-ZVP2-0426-SM-57WC2,THYROID
GTEX-13G51-0011-R10b-SM-5LZYF,BRAIN
GTEX-RNOR-2226-SM-2TF5O,BRAIN
GTEX-13OVJ-0011-R4b-SM-5P9H5,BRAIN
GTEX-NPJ7-0011-R5a-SM-33HBK,BRAIN
GTEX-ZVT2-1626-SM-51MRC,STOMACH
GTEX-U4B1-1526-SM-4DXSL,TESTIS
GTEX-131XG-0326-SM-5L3DX,SKIN
GTEX-ZTX8-1026-SM-5EGHD,PROSTATE
GTEX-ZVZQ-0011-R11a-SM-51MS6,BRAIN
GTEX-11ILO-1526-SM-5A5KZ,PANCREAS
GTEX-Q2AG-0326-SM-48U1O,BREAST
GTEX-U4B1-0008-SM-4DXUW,SKIN
GTEX-12WSH-0011-R4a-SM-5GU6K,BRAIN
GTEX-ZYFD-1526-SM-5NQ7T,KIDNEY
GTEX-XQ3S-1526-SM-4BOOC,SKIN
GTEX-139D8-2326-SM-5IFGE,STOMACH
GTEX-132QS-1426-SM-5P9GE,ESOPHAGUS
GTEX-ZGAY-0526-SM-4WWBB,SKIN
GTEX-131XW-0011-R10a-SM-5DUVA,BRAIN
GTEX-147F4-2526-SM-5NQBB,ADRENAL GLAND
GTEX-11NUK-0008-SM-5Q5B9,SKIN
GTEX-11NUK-2726-SM-5A5MC,SKIN
GTEX-R55E-0826-SM-2TC5M,THYROID
GTEX-WFON-1626-SM-4LVMV,PROSTATE
GTEX-Y3IK-1626-SM-4YCF5,SKIN
GTEX-WYVS-0008-SM-4ONDY,SKIN
GTEX-T6MN-0011-R10A-SM-32QP7,BRAIN
GTEX-13VXT-0626-SM-5SIA1,THYROID
GTEX-T6MN-0011-R4A-SM-32QPG,BRAIN
GTEX-Y3IK-2126-SM-4YCDS,UTERUS
GTEX-11TUW-1826-SM-5BC5D,BREAST
GTEX-ZAJG-2726-SM-5S2MU,OVARY
GTEX-PWN1-1526-SM-48TDA,STOMACH
GTEX-ZPCL-1226-SM-4WWFF,ESOPHAGUS
GTEX-12ZZX-0011-R6a-SM-5HL8L,BRAIN
GTEX-ZPIC-0008-SM-4E3JF,SKIN
GTEX-ZVZQ-0626-SM-59HJU,THYROID
GTEX-UTHO-2726-SM-4JBH9,PROSTATE
GTEX-11O72-2726-SM-5HL6K,PROSTATE
GTEX-13VXU-0011-R7b-SM-5SI72,BRAIN
GTEX-11WQC-2326-SM-5EQKE,TESTIS
GTEX-1313W-0626-SM-5EQ4H,SKIN
GTEX-12WSA-0011-R7b-SM-5GU5U,BRAIN
GTEX-Y8DK-0011-R10A-SM-4SOK1,BRAIN
GTEX-Z93T-0126-SM-5HL5N,SKIN
GTEX-13FLV-0011-R11a-SM-5LZZ7,BRAIN
GTEX-OOBJ-0008-SM-3NB26,SKIN
GTEX-ZPU1-1126-SM-4YCF3,SKIN
GTEX-X4EP-2926-SM-3P5YQ,BREAST
GTEX-T2IS-3026-SM-32QPM,BRAIN
GTEX-S95S-0826-SM-4B64N,STOMACH
GTEX-OHPM-0126-SM-2YUN9,SKIN
GTEX-11EMC-1826-SM-5A5JT,UTERUS
K-562-SM-5KM2I,BONE MARROW
GTEX-ZG7Y-0326-SM-4WWEY,PANCREAS
GTEX-14BMU-1826-SM-5RQII,UTERUS
GTEX-QEG5-1126-SM-2I5GH,LUNG
GTEX-Q734-0626-SM-2I3EF,LUNG
GTEX-POMQ-0826-SM-3P61H,STOMACH
GTEX-ZA64-0826-SM-5HL9U,STOMACH
GTEX-12WSJ-0726-SM-5GCN6,ESOPHAGUS
GTEX-ZE7O-0126-SM-57WC1,SKIN
GTEX-117YX-1926-SM-5GIEC,SKIN
GTEX-1399S-1326-SM-5P9GH,ESOPHAGUS
GTEX-1399U-1026-SM-5J1OC,ESOPHAGUS
GTEX-QDT8-3026-SM-32PKB,BRAIN
GTEX-13IVO-0011-R6b-SM-5K7X9,BRAIN
GTEX-146FH-1626-SM-5NQ9H,ESOPHAGUS
GTEX-11DYG-1526-SM-5A5JS,SKIN
GTEX-13OW8-2426-SM-5L3ID,ESOPHAGUS
GTEX-RTLS-2626-SM-46MUJ,STOMACH
GTEX-12WSG-0326-SM-5FQU3,LUNG
GTEX-S32W-2026-SM-4AD6E,BREAST
GTEX-T6MN-1526-SM-4DM5P,ESOPHAGUS
GTEX-146FH-1926-SM-5Q5B2,ESOPHAGUS
GTEX-13OVH-0126-SM-5MR4B,SKIN
GTEX-WXYG-1426-SM-4ONCK,OVARY
GTEX-SNMC-0626-SM-4DM6H,STOMACH
GTEX-1497J-0826-SM-5NQAJ,KIDNEY
GTEX-S4Z8-0726-SM-4GICB,ESOPHAGUS
GTEX-Y3IK-2026-SM-4YCDG,OVARY
GTEX-R53T-1126-SM-48FD4,ESOPHAGUS
GTEX-1192X-3126-SM-5N9BY,BRAIN
GTEX-13NZB-1226-SM-5J2MW,ESOPHAGUS
GTEX-146FQ-1526-SM-5Q5CX,PANCREAS
GTEX-U3ZN-1726-SM-4DXUQ,ESOPHAGUS
GTEX-13NYS-3126-SM-5KLYV,BRAIN
GTEX-ZDTS-0126-SM-4WAY5,SKIN
GTEX-QLQW-0526-SM-4R1KS,ESOPHAGUS
GTEX-X4EO-0008-SM-4QASS,SKIN
GTEX-131YS-0011-R11b-SM-5EGLM,BRAIN
GTEX-WK11-0926-SM-3NMAU,THYROID
GTEX-144GL-2926-SM-5O99F,BRAIN
GTEX-YEC4-0826-SM-5P9FV,LIVER
GTEX-11ILO-0626-SM-5A5LO,SKIN
GTEX-ZAB4-2126-SM-5HL8U,SKIN
GTEX-S7PM-0126-SM-4AD6S,SKIN
GTEX-YEC4-2126-SM-5IFJH,SKIN
GTEX-T2IS-2926-SM-32QPO,BRAIN
GTEX-13FTW-0326-SM-5K7UW,SKIN
GTEX-11UD2-1226-SM-5EQMI,ESOPHAGUS
GTEX-13CIG-0011-R3b-SM-5K7XF,BRAIN
GTEX-11ZUS-2126-SM-5N9E6,PROSTATE
GTEX-11TT1-0726-SM-5GU5A,STOMACH
GTEX-S7SE-0011-R1A-SM-2XCDE,BRAIN
GTEX-14ASI-0011-R6a-SM-5S2UZ,BRAIN
GTEX-12WSL-0426-SM-5GCNX,PANCREAS
GTEX-XUJ4-0126-SM-4BOP7,ADRENAL GLAND
GTEX-ZDTS-1026-SM-4WAXS,LUNG
GTEX-WWYW-0011-R6A-SM-3NB3G,BRAIN
GTEX-Y5V6-1726-SM-4VDSZ,TESTIS
GTEX-14DAQ-1726-SM-5S2R2,LIVER
GTEX-N7MS-0011-R3a-SM-33HC6,BRAIN
GTEX-U3ZM-0008-SM-4DXTQ,SKIN
GTEX-Q2AG-0011-R9A-SM-2HMJ6,BRAIN
GTEX-ZYVF-2326-SM-5E44Z,ESOPHAGUS
GTEX-11TT1-1826-SM-5EQLV,SKIN
GTEX-Y9LG-0726-SM-4VDS3,PANCREAS
GTEX-WZTO-0926-SM-4PQZ3,PROSTATE
GTEX-WYJK-1326-SM-3NB2T,BREAST
GTEX-ZQUD-0426-SM-57WFR,ESOPHAGUS
GTEX-QVUS-2926-SM-3GIJB,BRAIN
GTEX-U8XE-1526-SM-4E3HT,LIVER
GTEX-OHPL-0526-SM-2HMIX,LUNG
GTEX-13O61-0726-SM-5J2MD,LUNG
GTEX-VUSG-1026-SM-4KKZN,ESOPHAGUS
GTEX-11UD2-0626-SM-5GU6L,THYROID
GTEX-13NYB-0011-R1b-SM-5KM4F,BRAIN
GTEX-RU1J-0526-SM-46MUT,STOMACH
GTEX-XUW1-2326-SM-4BOO5,BREAST
GTEX-14C38-1526-SM-5RQJ7,LIVER
GTEX-P4PQ-2126-SM-3NMCV,TESTIS
GTEX-12WSI-2126-SM-5GCMV,TESTIS
GTEX-S32W-1426-SM-4AD66,UTERUS
GTEX-WHSE-0011-R7A-SM-3P5YZ,BRAIN
GTEX-13OVJ-0011-R3b-SM-5P9H6,BRAIN
GTEX-12126-0926-SM-5FQTW,BRAIN
GTEX-13OVJ-1026-SM-5IFGI,LIVER
GTEX-ZTX8-0008-SM-4YCDV,SKIN
GTEX-VUSG-2526-SM-4KL1V,SKIN
GTEX-T6MN-0826-SM-32PM4,LUNG
GTEX-S4UY-1026-SM-4AD53,OVARY
GTEX-13OW7-0011-R1b-SM-5L3HF,BRAIN
GTEX-WHSE-0011-R8A-SM-3P5Z1,BRAIN
GTEX-13OW7-0011-R10a-SM-5L3H3,BRAIN
GTEX-WL46-0011-R10A-SM-3MJFQ,BRAIN
GTEX-13PDP-0011-R8b-SM-5O9CS,BRAIN
GTEX-14BMV-0126-SM-5S2PO,SKIN
GTEX-R55G-0926-SM-48FDN,ESOPHAGUS
GTEX-S3XE-0008-SM-3NM8O,SKIN
GTEX-11P82-1126-SM-5BC5K,PROSTATE
GTEX-U3ZH-0226-SM-3DB7B,THYROID
GTEX-RU1J-0826-SM-46MUU,OVARY
GTEX-OXRN-1726-SM-3NM9B,ESOPHAGUS
GTEX-RN64-1226-SM-2TC6E,LUNG
GTEX-U412-0008-SM-4DXTE,SKIN
GTEX-T8EM-0126-SM-4DM5R,TESTIS
GTEX-11ILO-0726-SM-5HL5I,LUNG
GTEX-UJMC-0226-SM-4IHLH,ADRENAL GLAND
GTEX-WHSB-0008-SM-4M1ZP,SKIN
GTEX-13PVQ-2926-SM-5L3HJ,BRAIN
GTEX-XQ3S-0926-SM-4BOPI,LUNG
GTEX-OHPN-0011-R3A-SM-2I5FC,BRAIN
GTEX-ZDXO-2926-SM-4WKFM,BRAIN
GTEX-1497J-0726-SM-5Q5D1,LIVER
GTEX-13O3O-0011-R5b-SM-5KM44,BRAIN
GTEX-ZVZQ-0011-R6b-SM-57WAY,BRAIN
GTEX-WK11-1026-SM-4OOS8,ESOPHAGUS
GTEX-WYVS-0526-SM-3NM9W,LUNG
GTEX-XUJ4-1826-SM-4BOOU,SKIN
GTEX-11OC5-0626-SM-5HL6M,BRAIN
GTEX-132NY-0826-SM-5K7Y7,BREAST
GTEX-139UC-0011-R4a-SM-5K7XM,BRAIN
GTEX-1192X-3226-SM-5987D,BRAIN
GTEX-S4Z8-0326-SM-3K2AU,THYROID
GTEX-PWOO-0826-SM-48TCL,LIVER
GTEX-ZYFG-1226-SM-5GIC7,ESOPHAGUS
GTEX-R55F-0011-R6A-SM-2TF4L,BRAIN
GTEX-TML8-1526-SM-4DXUX,ESOPHAGUS
GTEX-WQUQ-1826-SM-4OOSD,ESOPHAGUS
GTEX-ZZ64-0126-SM-5GZXA,THYROID
GTEX-T6MN-0011-R11A-SM-32QOX,BRAIN
GTEX-ZLFU-1826-SM-4WWBV,SKIN
GTEX-OHPJ-1026-SM-2HMLE,LUNG
GTEX-YEC4-1226-SM-5CVLX,ESOPHAGUS
GTEX-11TT1-1626-SM-5EQL7,LUNG
GTEX-N7MS-0011-R3a-SM-5SI8H,BRAIN
GTEX-WHWD-1426-SM-4OORU,STOMACH
GTEX-113JC-1026-SM-5H117,ESOPHAGUS
GTEX-13RTJ-0011-R10b-SM-5O9CW,BRAIN
GTEX-NPJ8-1226-SM-3MJHM,TESTIS
GTEX-ZYW4-0126-SM-5E44A,SKIN
GTEX-ZDXO-0011-R5a-SM-4WKG5,BRAIN
GTEX-RUSQ-0826-SM-47JWW,ESOPHAGUS
GTEX-OHPN-0011-R8A-SM-33HBT,BRAIN
GTEX-TMMY-0226-SM-33HBA,SKIN
GTEX-11EQ9-1926-SM-5PNVV,TESTIS
GTEX-11NV4-1726-SM-5N9FC,TESTIS
GTEX-ZVE2-1326-SM-5NQ94,ESOPHAGUS
GTEX-11GSP-2126-SM-5HL5E,STOMACH
GTEX-X3Y1-1226-SM-4PQZ8,ESOPHAGUS
GTEX-12WS9-0011-R10a-SM-57WBV,BRAIN
GTEX-XBED-2026-SM-4AT5D,TESTIS
GTEX-Q2AH-1026-SM-48TZI,ESOPHAGUS
GTEX-ZYFD-0126-SM-5GIDL,SKIN
GTEX-Y114-0826-SM-4TT77,PANCREAS
GTEX-ZA64-1526-SM-5CVMD,BREAST
GTEX-13S7M-3026-SM-5S2QQ,BRAIN
GTEX-X585-0011-R11B-SM-46MUZ,BRAIN
GTEX-ZYFG-1526-SM-5GZYM,SKIN
GTEX-RM2N-1426-SM-2TF4H,SKIN
GTEX-11DZ1-2026-SM-5A5KG,ESOPHAGUS
GTEX-ZTPG-0926-SM-5O99H,LUNG
GTEX-WFG8-2126-SM-3GIKQ,SKIN
GTEX-QMR6-0011-R4A-SM-32PKU,BRAIN
GTEX-WRHK-1426-SM-3MJF9,SKIN
GTEX-WXYG-2226-SM-4E3IM,BREAST
GTEX-YFCO-1226-SM-5LUAT,SKIN
GTEX-XMD2-0008-SM-4WWE7,SKIN
K-562-SM-4RTUY,BONE MARROW
GTEX-WI4N-0926-SM-3LK7K,THYROID
GTEX-Y111-0626-SM-4SOIT,SKIN
GTEX-13N11-0926-SM-5IJG2,LIVER
GTEX-VUSG-0926-SM-3GIK6,LUNG
GTEX-ZC5H-2026-SM-5CVN2,OVARY
GTEX-REY6-0426-SM-2TF5G,LUNG
GTEX-P4QT-1526-SM-3NMCT,STOMACH
GTEX-13FLW-0326-SM-5J2M4,THYROID
GTEX-12WSH-0226-SM-5GCOG,THYROID
GTEX-13O3O-0011-R6b-SM-5P9GY,BRAIN
GTEX-11DYG-0008-SM-5QGR5,SKIN
GTEX-11ZUS-2526-SM-59872,LIVER
GTEX-13FTY-0126-SM-5J2NZ,LUNG
GTEX-ZF28-2926-SM-4WKG1,BRAIN
GTEX-12ZZZ-0011-R3b-SM-5DUXK,BRAIN
GTEX-WZTO-0011-R8A-SM-4E3II,BRAIN
GTEX-13X6H-1026-SM-5SIBE,OVARY
