,sample_type
GTEX-12ZZZ-1226-SM-59HK1,TISSUE
GTEX-13G51-3026-SM-5IJB8,TISSUE
GTEX-111CU-0726-SM-5GZYD,TISSUE
GTEX-Y3I4-1526-SM-4TT7K,TISSUE
GTEX-XAJ8-0226-SM-4GIB2,TISSUE
GTEX-12ZZY-0011-R5a-SM-5EGL9,TISSUE
GTEX-139YR-0126-SM-5IJEY,TISSUE
GTEX-1497J-2626-SM-5SI9K,TISSUE
GTEX-ZVT2-0426-SM-5E44S,TISSUE
GTEX-13FHP-0826-SM-5K7V5,TISSUE
GTEX-Q734-0006-SM-2I3FJ,TISSUE
GTEX-UJHI-0008-SM-4IHL1,TISSUE
GTEX-13VXU-1926-SM-5LU5J,TISSUE
GTEX-ZXG5-0326-SM-5GICH,TISSUE
GTEX-ZF28-0011-R3a-SM-4WWDA,TISSUE
GTEX-1339X-0626-SM-5IJER,TISSUE
GTEX-11LCK-1626-SM-5PNYB,TISSUE
GTEX-12584-0226-SM-5EQL5,TISSUE
GTEX-139YR-2526-SM-5IJC6,TISSUE
GTEX-PWOO-0426-SM-48TZF,TISSUE
GTEX-Z9EW-0926-SM-5CVMM,TISSUE
GTEX-S4Q7-1326-SM-4AD74,TISSUE
GTEX-13OW6-0011-R8a-SM-5L3GF,TISSUE
GTEX-ZDYS-1126-SM-5K7UB,TISSUE
GTEX-R55C-0526-SM-3GIKA,TISSUE
GTEX-13112-3126-SM-5IFGP,TISSUE
GTEX-11EQ9-0826-SM-5986Y,TISSUE
GTEX-ZVZQ-0826-SM-51MRF,TISSUE
GTEX-11EI6-0426-SM-5EQ43,TISSUE
GTEX-13VXU-1126-SM-5LU3U,TISSUE
GTEX-13OVJ-1726-SM-5IJDZ,TISSUE
GTEX-14E6C-0326-SM-5Q5EE,TISSUE
GTEX-13NZB-2026-SM-5MR4M,TISSUE
GTEX-144GL-0326-SM-5QGOY,TISSUE
GTEX-Q734-0326-SM-48U15,TISSUE
GTEX-ZE7O-2926-SM-51MSG,TISSUE
GTEX-11XUK-0008-SM-5S2WD,TISSUE
GTEX-ZC5H-1326-SM-5HL7E,TISSUE
GTEX-11ZTS-3226-SM-5EGID,TISSUE
GTEX-XK95-1026-SM-4GIDV,TISSUE
GTEX-ZTPG-0326-SM-5O9AX,TISSUE
GTEX-XYKS-1426-SM-4BRUO,TISSUE
GTEX-Y114-2126-SM-4TT8B,TISSUE
GTEX-R53T-0426-SM-48FEM,TISSUE
GTEX-146FH-2626-SM-5Q5E1,TISSUE
GTEX-144GL-1026-SM-5O99R,TISSUE
GTEX-12ZZX-1926-SM-5EGKC,TISSUE
GTEX-13FLV-0011-R7b-SM-5K7WW,TISSUE
GTEX-13QBU-0526-SM-5IJFE,TISSUE
GTEX-1192X-0008-SM-5Q5B7,TISSUE
GTEX-UTHO-0426-SM-5SI7N,TISSUE
GTEX-111FC-2026-SM-5GZYO,TISSUE
GTEX-14A5I-1326-SM-5SIAQ,TISSUE
GTEX-12WSF-0011-R7b-SM-5HL99,TISSUE
GTEX-13CF3-2426-SM-5IFGX,TISSUE
GTEX-U3ZM-0426-SM-59HKR,TISSUE
GTEX-ZYFC-1226-SM-5GIE4,TISSUE
GTEX-YECK-1426-SM-5IFHE,TISSUE
GTEX-ZVT2-0005-SM-57WBW,TISSUE
GTEX-11EM3-2326-SM-5H12B,TISSUE
GTEX-XAJ8-1426-SM-47JYM,TISSUE
GTEX-1339X-1226-SM-5PNVO,TISSUE
GTEX-13O3O-0011-R11b-SM-5KM4G,TISSUE
GTEX-12WSD-1426-SM-5GCN9,TISSUE
GTEX-11GSP-0011-R9b-SM-5NQ77,TISSUE
GTEX-YFC4-1126-SM-5RQJN,TISSUE
GTEX-117YX-0726-SM-5GIET,TISSUE
GTEX-T6MN-0826-SM-32PM4,TISSUE
GTEX-13X6K-0011-R3b-SM-5PNUD,TISSUE
GTEX-ZZPU-0426-SM-5GZYH,TISSUE
GTEX-WY7C-1426-SM-4OND1,TISSUE
GTEX-11NV4-0011-R7a-SM-57WDH,TISSUE
GTEX-RUSQ-2126-SM-47JXK,TISSUE
GTEX-1477Z-2826-SM-5SI9J,TISSUE
GTEX-117YX-2226-SM-5EGJJ,TISSUE
GTEX-13111-1526-SM-5EGJX,TISSUE
GTEX-QDVN-1926-SM-48TZ8,TISSUE
GTEX-QDVJ-0008-SM-48U2E,TISSUE
GTEX-TMMY-1026-SM-4DXTI,TISSUE
GTEX-12WSN-1826-SM-5LZUT,TISSUE
GTEX-ZYW4-0426-SM-5GZYS,TISSUE
GTEX-XXEK-0526-SM-4BRWD,TISSUE
GTEX-S32W-0126-SM-4AD61,TISSUE
GTEX-13OW8-0326-SM-5L3FB,TISSUE
GTEX-13PVQ-1526-SM-5IFEQ,TISSUE
GTEX-147F3-1726-SM-5SIAW,TISSUE
GTEX-WQUQ-2626-SM-4MVNP,TISSUE
GTEX-11UD2-0426-SM-5EQ5W,TISSUE
GTEX-145MH-0326-SM-5LU8H,TISSUE
GTEX-145MH-1426-SM-5QGPO,TISSUE
GTEX-145ME-2226-SM-5S2VY,TISSUE
GTEX-117YX-1226-SM-5H11S,TISSUE
GTEX-R53T-1226-SM-48FCT,TISSUE
GTEX-11NUK-2726-SM-5A5MC,TISSUE
GTEX-SUCS-0726-SM-4DM7J,TISSUE
GTEX-ZF2S-3026-SM-4WWCH,TISSUE
GTEX-R55G-1226-SM-48FDC,TISSUE
GTEX-R55E-0726-SM-48FCZ,TISSUE
GTEX-X4EP-1026-SM-4QAS5,TISSUE
GTEX-XQ3S-1126-SM-4BOPK,TISSUE
GTEX-Y111-0926-SM-4SOIU,TISSUE
GTEX-12ZZX-0011-R6a-SM-5HL8L,TISSUE
GTEX-13G51-0926-SM-5IFFU,TISSUE
GTEX-S4UY-0926-SM-4AD6O,TISSUE
GTEX-U3ZN-1026-SM-4DXTC,TISSUE
GTEX-U3ZN-0526-SM-4DXTH,TISSUE
GTEX-X15G-0926-SM-4PQZE,TISSUE
GTEX-Z9EW-2026-SM-5CVMQ,TISSUE
GTEX-13VXT-2426-SM-5LU46,TISSUE
GTEX-14BMU-1326-SM-5RQIH,TISSUE
GTEX-14753-0526-SM-5QGPR,TISSUE
GTEX-11DXW-0326-SM-5H11W,TISSUE
GTEX-R55D-0008-SM-48FEV,TISSUE
GTEX-VJYA-0526-SM-4KL1R,TISSUE
GTEX-1269C-0011-R4b-SM-5P9ES,TISSUE
GTEX-XBEC-0526-SM-4QARU,TISSUE
GTEX-WY7C-0004-SM-4ONDS,TISSUE
GTEX-13FHO-1026-SM-5KM1Q,TISSUE
K-562-SM-4IHK7,TISSUE
GTEX-12ZZX-2926-SM-5GCOQ,TISSUE
GTEX-VJYA-0626-SM-4KL1S,TISSUE
GTEX-13PL7-2226-SM-5L3IC,TISSUE
GTEX-P4QR-0008-SM-48TE2,TISSUE
GTEX-147JS-2526-SM-5S2Q8,TISSUE
GTEX-13OW5-0011-R3a-SM-5L3I5,TISSUE
GTEX-T5JW-0326-SM-4DM6J,TISSUE
GTEX-1314G-1926-SM-5BC6F,TISSUE
GTEX-13O1R-2426-SM-5KLZZ,TISSUE
GTEX-SNMC-0008-SM-4DM5A,TISSUE
GTEX-WYBS-1026-SM-4ONCY,TISSUE
GTEX-OXRO-1226-SM-48TDL,TISSUE
GTEX-11DXY-1526-SM-5H129,TISSUE
GTEX-11GS4-2826-SM-5HL56,TISSUE
GTEX-X4XX-0008-SM-46MVK,TISSUE
GTEX-11NV4-1926-SM-5N9D4,TISSUE
GTEX-12ZZY-0526-SM-5EQ5H,TISSUE
GTEX-X585-1226-SM-46MW7,TISSUE
GTEX-XLM4-0011-R10A-SM-4AT5P,TISSUE
GTEX-ZA64-0326-SM-5HL8T,TISSUE
GTEX-11XUK-0926-SM-5EQL3,TISSUE
GTEX-11UD2-2826-SM-5GU6X,TISSUE
GTEX-1192X-0426-SM-5GIEE,TISSUE
GTEX-QDVJ-1326-SM-48U1X,TISSUE
GTEX-X638-0426-SM-47JY2,TISSUE
GTEX-12WS9-0126-SM-5EGL7,TISSUE
GTEX-14E1K-1226-SM-5S2PD,TISSUE
GTEX-X15G-0008-SM-4PR2D,TISSUE
GTEX-PLZ6-0008-SM-48TD5,TISSUE
GTEX-POYW-0006-SM-2XCF4,TISSUE
GTEX-ZV6S-2026-SM-5NQ8P,TISSUE
GTEX-QV31-0326-SM-447BM,TISSUE
GTEX-XLM4-0426-SM-4AT54,TISSUE
GTEX-PSDG-0008-SM-48TE5,TISSUE
GTEX-XBEW-1126-SM-4QARW,TISSUE
GTEX-111YS-0526-SM-5GZXJ,TISSUE
GTEX-S4Z8-2026-SM-3K2A9,TISSUE
GTEX-P4PQ-2626-SM-5SI7K,TISSUE
GTEX-11DXZ-0626-SM-5GU77,TISSUE
GTEX-ZAB4-0826-SM-5LU9D,TISSUE
GTEX-S32W-0926-SM-4AD5X,TISSUE
GTEX-ZE9C-2826-SM-5S2MO,TISSUE
GTEX-145MO-2826-SM-5LU96,TISSUE
GTEX-13S7M-1826-SM-5RQK6,TISSUE
GTEX-13N1W-2426-SM-5IJD1,TISSUE
GTEX-14A6H-0006-SM-5NQ7W,TISSUE
GTEX-R55D-1826-SM-48FEF,TISSUE
K-562-SM-26GMQ,TISSUE
GTEX-145MH-1026-SM-5Q5CI,TISSUE
GTEX-11TT1-0126-SM-5LUAA,TISSUE
GTEX-ZPU1-1226-SM-5HL71,TISSUE
GTEX-QMRM-1526-SM-4R1K6,TISSUE
GTEX-14753-0726-SM-5QGQO,TISSUE
GTEX-11DXZ-0926-SM-5N9CG,TISSUE
GTEX-Y111-2026-SM-4SOJA,TISSUE
GTEX-N7MT-1226-SM-2D7W4,TISSUE
GTEX-13OW5-2226-SM-5L3HC,TISSUE
GTEX-PWCY-1826-SM-5SI7U,TISSUE
GTEX-12126-0626-SM-5Q5AQ,TISSUE
GTEX-13OW7-2726-SM-5L3HN,TISSUE
GTEX-X261-3126-SM-4PQZC,TISSUE
GTEX-12WSJ-1126-SM-5LZVJ,TISSUE
GTEX-147F4-1426-SM-5LUA8,TISSUE
GTEX-QLQ7-0626-SM-4R1JT,TISSUE
GTEX-Y111-0008-SM-4SOJ3,TISSUE
GTEX-11O72-0526-SM-5Q5AO,TISSUE
GTEX-XV7Q-2626-SM-4BRVA,TISSUE
GTEX-T8EM-0826-SM-4DM76,TISSUE
GTEX-XUJ4-0005-SM-4BOQ6,TISSUE
GTEX-XXEK-0726-SM-4BRWF,TISSUE
GTEX-13G51-2426-SM-5LZY8,TISSUE
GTEX-QEL4-1526-SM-447AB,TISSUE
GTEX-WHPG-0926-SM-4M1XY,TISSUE
GTEX-OXRP-0226-SM-48TDH,TISSUE
GTEX-PSDG-0726-SM-2I5FN,TISSUE
GTEX-P4QT-0726-SM-3NMCM,TISSUE
GTEX-OOBJ-0326-SM-2I3F8,TISSUE
GTEX-OIZG-0005-SM-2HMJC,TISSUE
GTEX-NPJ7-0011-R5a-SM-33HBK,TISSUE
GTEX-S32W-0326-SM-5S2T4,TISSUE
GTEX-NPJ8-2526-SM-2HML8,TISSUE
GTEX-XLM4-0426-SM-5S2T7,TISSUE
GTEX-T6MN-0826-SM-5S2SK,TISSUE
GTEX-TSE9-2926-SM-3DB77,TISSUE
GTEX-YJ8A-1526-SM-5P9FT,TISSUE
K-562-SM-33HC7,TISSUE
GTEX-NL3H-0011-R7a-SM-2I3G5,TISSUE
GTEX-OHPK-0426-SM-3MJH3,TISSUE
GTEX-13OVI-0001-SM-5O9BL,TISSUE
GTEX-13QIC-0011-R11b-SM-5O9BU,TISSUE
GTEX-WL46-0011-R10A-SM-3MJFQ,TISSUE
GTEX-P44H-0226-SM-2XCEU,TISSUE
GTEX-P4PQ-0726-SM-3NMCR,TISSUE
GTEX-YF7O-1326-SM-4W1ZR,TISSUE
GTEX-WOFM-0005-SM-3MJF3,TISSUE
K-562-SM-3NMAP,TISSUE
GTEX-P4QS-1326-SM-3NMCD,TISSUE
GTEX-OHPM-1426-SM-3TW8Y,TISSUE
GTEX-P44H-0326-SM-2XCES,TISSUE
GTEX-P4PQ-1626-SM-2HMKK,TISSUE
GTEX-YEC4-0826-SM-5P9FV,TISSUE
GTEX-ZYWO-2526-SM-5GIDM,TISSUE
GTEX-WZTO-2826-SM-3NM8P,TISSUE
GTEX-U3ZH-0326-SM-51MS7,TISSUE
GTEX-OHPK-0226-SM-3MJH6,TISSUE
GTEX-13OVL-0006-SM-5O996,TISSUE
GTEX-P4PP-0726-SM-3NM9S,TISSUE
GTEX-Y3I4-0006-SM-4TT1E,TISSUE
GTEX-OHPK-2026-SM-3MJH7,TISSUE
GTEX-P78B-1926-SM-3P616,TISSUE
GTEX-WVLH-0011-R1A-SM-4MVOK,TISSUE
GTEX-PLZ6-0626-SM-3P61B,TISSUE
GTEX-O5YT-0007-SM-32PK7,TISSUE
GTEX-WCDI-0002-SM-3P61U,TISSUE
GTEX-YEC3-0726-SM-4YCD1,TISSUE
GTEX-OIZG-0426-SM-3LK5W,TISSUE
GTEX-T8EM-0006-SM-3DB71,TISSUE
K-562-SM-4B66B,TISSUE
GTEX-X4XX-0126-SM-3NMC2,TISSUE
GTEX-13OVJ-0011-R11a-SM-5P9H8,TISSUE
GTEX-O5YW-0006-SM-3LK6E,TISSUE
GTEX-ZYFD-0126-SM-5GIDL,TISSUE
GTEX-12WSE-0011-R10b-SM-5P9JV,TISSUE
GTEX-R55E-2526-SM-2TC6H,TISSUE
GTEX-O5YW-0526-SM-2YUMX,TISSUE
GTEX-OXRK-1726-SM-3NB16,TISSUE
GTEX-132QS-0926-SM-5P9GB,TISSUE
GTEX-13FXS-0011-R2b-SM-5K7XX,TISSUE
GTEX-V1D1-2026-SM-3GAF4,TISSUE
GTEX-WHSE-3126-SM-3P5ZI,TISSUE
GTEX-RTLS-0826-SM-2TF5Q,TISSUE
GTEX-11DXX-1626-SM-5H11H,TISSUE
GTEX-ZDXO-0006-SM-4WKGF,TISSUE
GTEX-R55E-0011-R8A-SM-2TC66,TISSUE
GTEX-WFG8-0726-SM-3GILP,TISSUE
GTEX-145ME-2026-SM-5SIA5,TISSUE
GTEX-VJYA-1726-SM-3NMDQ,TISSUE
GTEX-ZT9W-0008-SM-4YCDJ,TISSUE
GTEX-1399S-0526-SM-5IJG8,TISSUE
GTEX-R55E-0426-SM-2TC65,TISSUE
GTEX-ZYFC-1626-SM-5N9EU,TISSUE
GTEX-ZZPU-1826-SM-5E43L,TISSUE
GTEX-Y3IK-2126-SM-4YCDS,TISSUE
GTEX-ZE7O-0326-SM-51MTH,TISSUE
GTEX-YEC4-1926-SM-5IFHJ,TISSUE
GTEX-13FXS-0011-R9a-SM-5K7UI,TISSUE
GTEX-146FR-2026-SM-5NQAI,TISSUE
GTEX-13QJ3-2726-SM-5SI6L,TISSUE
GTEX-146FH-1626-SM-5NQ9H,TISSUE
GTEX-11EQ9-0526-SM-5A5JZ,TISSUE
GTEX-ZTX8-1526-SM-5N9GI,TISSUE
GTEX-OHPK-2526-SM-3MJH9,TISSUE
GTEX-13X6I-1526-SM-5SIAC,TISSUE
GTEX-P4QT-0626-SM-3NMCP,TISSUE
GTEX-U8XE-1526-SM-4E3HT,TISSUE
GTEX-11EI6-1526-SM-5P9GL,TISSUE
GTEX-WEY5-1926-SM-3GIL8,TISSUE
GTEX-YFC4-0011-R4a-SM-4RGLQ,TISSUE
GTEX-ZVT2-1526-SM-51MQZ,TISSUE
GTEX-X5EB-1726-SM-4E3J7,TISSUE
GTEX-QVJO-0011-R4A-SM-2S1QL,TISSUE
GTEX-12WSG-2426-SM-5EQLZ,TISSUE
GTEX-ZF28-3126-SM-4WKFC,TISSUE
GTEX-S3XE-0126-SM-4AD4R,TISSUE
GTEX-ZV6S-1226-SM-59HLH,TISSUE
GTEX-12WSC-2926-SM-5BC5Z,TISSUE
GTEX-YJ89-1526-SM-5P9IR,TISSUE
GTEX-11P82-0626-SM-5PNYK,TISSUE
GTEX-Q734-1826-SM-2I3EL,TISSUE
GTEX-12WSL-1026-SM-5CVNJ,TISSUE
GTEX-132QS-0526-SM-5IJC7,TISSUE
GTEX-ZPIC-0008-SM-4E3JF,TISSUE
GTEX-WQUQ-2126-SM-4OOSO,TISSUE
GTEX-ZF29-2626-SM-4WWBA,TISSUE
GTEX-U8XE-0326-SM-3DB8P,TISSUE
GTEX-ZVT3-0011-R6a-SM-51MSU,TISSUE
GTEX-S33H-0526-SM-5SI83,TISSUE
GTEX-ZE9C-0006-SM-4WKG2,TISSUE
GTEX-ZUA1-0226-SM-5NQ9Q,TISSUE
GTEX-YECK-1626-SM-5IFHQ,TISSUE
GTEX-132NY-1426-SM-5J1MJ,TISSUE
GTEX-13N1W-0326-SM-5IJDJ,TISSUE
GTEX-145LU-2026-SM-5Q5E8,TISSUE
GTEX-ZPCL-2026-SM-57WFD,TISSUE
GTEX-13OVG-1926-SM-5L3DK,TISSUE
GTEX-13NYB-0926-SM-5IFFA,TISSUE
GTEX-U8XE-0926-SM-3DB8V,TISSUE
GTEX-1399Q-2826-SM-5IJEZ,TISSUE
GTEX-131YS-2326-SM-5IJFJ,TISSUE
GTEX-RNOR-2226-SM-2TF5O,TISSUE
GTEX-12ZZZ-0011-R7b-SM-5EGLE,TISSUE
GTEX-12584-0826-SM-5FQSK,TISSUE
GTEX-13VXU-0126-SM-5SI9F,TISSUE
GTEX-11ONC-3026-SM-5985W,TISSUE
GTEX-139TS-0005-SM-5NQC1,TISSUE
GTEX-Y5V6-1626-SM-4VDT2,TISSUE
GTEX-139T6-1326-SM-5IFFO,TISSUE
GTEX-1192X-0726-SM-5987R,TISSUE
GTEX-145LU-0011-R9b-SM-5SI66,TISSUE
GTEX-11ZVC-0726-SM-5FQT9,TISSUE
GTEX-13O1R-3226-SM-5KM58,TISSUE
GTEX-Y5V5-2326-SM-4V6GA,TISSUE
GTEX-XMK1-0926-SM-4B66X,TISSUE
GTEX-11WQK-2926-SM-5EQKT,TISSUE
GTEX-13OVJ-0011-R9b-SM-5L3GD,TISSUE
GTEX-12WS9-0011-R2a-SM-5CVNE,TISSUE
GTEX-Q2AH-1526-SM-48TZG,TISSUE
GTEX-1497J-2726-SM-5SI9W,TISSUE
GTEX-WH7G-2326-SM-3NMBC,TISSUE
GTEX-ZQG8-1926-SM-4YCEO,TISSUE
GTEX-1211K-0326-SM-5FQT1,TISSUE
GTEX-XYKS-2226-SM-4E3IU,TISSUE
GTEX-117XS-2526-SM-5H11G,TISSUE
GTEX-13RTK-0426-SM-5RQHT,TISSUE
GTEX-WOFM-0426-SM-4OOSG,TISSUE
GTEX-ZF28-0011-R5a-SM-4WWCZ,TISSUE
GTEX-12WSF-0011-R2a-SM-5DUVU,TISSUE
GTEX-ZYFC-1026-SM-5GZX9,TISSUE
GTEX-13FH7-0526-SM-5IJF8,TISSUE
GTEX-139YR-1226-SM-5IFEU,TISSUE
GTEX-13PVQ-1326-SM-5LU4J,TISSUE
GTEX-13OW6-2626-SM-5IFF2,TISSUE
GTEX-144GO-1326-SM-5Q5EL,TISSUE
K-562-SM-4RGL3,TISSUE
GTEX-11DXX-0326-SM-5PNWC,TISSUE
GTEX-13NZ9-0626-SM-5IJCO,TISSUE
GTEX-11OF3-0011-R7a-SM-57WCG,TISSUE
GTEX-ZAB5-2326-SM-5IJFR,TISSUE
GTEX-1477Z-0005-SM-5PNWD,TISSUE
GTEX-11TT1-2026-SM-5EQM8,TISSUE
GTEX-11DXZ-2626-SM-59882,TISSUE
GTEX-QESD-0826-SM-47J4G,TISSUE
GTEX-131XF-0526-SM-5HL87,TISSUE
GTEX-11ZUS-0011-R9b-SM-5BC76,TISSUE
GTEX-ZZ64-1626-SM-5E43W,TISSUE
GTEX-Y5V6-2026-SM-5IFHO,TISSUE
GTEX-WHWD-0008-SM-4OOSU,TISSUE
GTEX-12WSE-0826-SM-5S2VL,TISSUE
GTEX-111YS-1026-SM-5GZYE,TISSUE
GTEX-ZP4G-1726-SM-4WWCM,TISSUE
GTEX-12696-0226-SM-5EGL3,TISSUE
GTEX-QV44-0526-SM-2S1RE,TISSUE
GTEX-13SLW-0011-R10a-SM-5S2UI,TISSUE
GTEX-13N1W-1026-SM-5IJC5,TISSUE
GTEX-13NYB-2726-SM-5J2MT,TISSUE
GTEX-1339X-0526-SM-5KLYW,TISSUE
GTEX-13CZU-0005-SM-5LU8K,TISSUE
GTEX-ZV7C-0008-SM-57WCL,TISSUE
GTEX-14DAR-0726-SM-5RQIA,TISSUE
GTEX-13OVH-0011-R11b-SM-5KM4X,TISSUE
GTEX-SN8G-0008-SM-4DM4X,TISSUE
GTEX-113JC-0126-SM-5EGJW,TISSUE
GTEX-YEC3-2426-SM-5IFJR,TISSUE
GTEX-11NV4-0526-SM-5N9BF,TISSUE
GTEX-OHPM-0126-SM-2YUN9,TISSUE
GTEX-12WSM-0011-R8a-SM-5DUWJ,TISSUE
GTEX-131XW-0006-SM-5O9AO,TISSUE
GTEX-S4Q7-1526-SM-3K2AG,TISSUE
GTEX-13X6J-0626-SM-5LU5F,TISSUE
GTEX-OHPN-2926-SM-3LK65,TISSUE
GTEX-131XW-3226-SM-5LZUO,TISSUE
GTEX-11DXZ-1826-SM-5H12Y,TISSUE
GTEX-QLQ7-0126-SM-4R1JW,TISSUE
GTEX-RU72-0926-SM-2TF6B,TISSUE
GTEX-RUSQ-0826-SM-47JWW,TISSUE
GTEX-13CF3-2326-SM-5IFGL,TISSUE
GTEX-132Q8-1126-SM-5K7XS,TISSUE
GTEX-13NZB-0626-SM-5IFH6,TISSUE
GTEX-S341-0726-SM-4AD5R,TISSUE
GTEX-11GS4-2626-SM-5A5LD,TISSUE
GTEX-13G51-2926-SM-5IJDL,TISSUE
GTEX-X4LF-0326-SM-4QAS9,TISSUE
GTEX-11P81-2126-SM-5HL6N,TISSUE
GTEX-13X6J-0011-R10b-SM-5PNWA,TISSUE
GTEX-12WSL-0326-SM-5CVMK,TISSUE
GTEX-117YW-2626-SM-5GZZH,TISSUE
GTEX-OXRL-1626-SM-2YUMU,TISSUE
GTEX-11DYG-1326-SM-5N9DO,TISSUE
GTEX-1497J-0005-SM-5NQBD,TISSUE
GTEX-11XUK-2226-SM-5CVLL,TISSUE
GTEX-12BJ1-0726-SM-5EGGF,TISSUE
GTEX-YJ8A-1126-SM-5IFJU,TISSUE
GTEX-13W3W-2126-SM-5K7UX,TISSUE
GTEX-WEY5-0926-SM-4LMI4,TISSUE
GTEX-1269C-2826-SM-5EQ5O,TISSUE
GTEX-Z93S-0126-SM-5HL7M,TISSUE
GTEX-13FHP-2426-SM-5KLZ5,TISSUE
GTEX-ZPCL-1026-SM-5GCOX,TISSUE
GTEX-PWOO-1726-SM-48TDC,TISSUE
GTEX-ZY6K-1426-SM-5GZX2,TISSUE
GTEX-1399T-2426-SM-5L3FJ,TISSUE
GTEX-Z9EW-1926-SM-5CVMP,TISSUE
GTEX-13NYB-3226-SM-5J2ND,TISSUE
GTEX-144GM-1226-SM-5LU52,TISSUE
GTEX-XXEK-1326-SM-4BRV1,TISSUE
GTEX-12584-0726-SM-5FQTK,TISSUE
GTEX-ZAB4-2426-SM-5HL8A,TISSUE
GTEX-145MG-0011-R5b-SM-5S2VU,TISSUE
GTEX-RWS6-0726-SM-47JXI,TISSUE
GTEX-11WQC-2426-SM-5EQKQ,TISSUE
GTEX-W5X1-2626-SM-4LMI8,TISSUE
GTEX-Q2AG-0008-SM-48U2K,TISSUE
GTEX-13W3W-2326-SM-5LU4Y,TISSUE
GTEX-13FHO-0011-R7b-SM-5LZXD,TISSUE
GTEX-12696-0626-SM-5EGGD,TISSUE
GTEX-PX3G-2526-SM-48TZV,TISSUE
GTEX-X638-0326-SM-47JY1,TISSUE
GTEX-XBEC-0008-SM-4AT3X,TISSUE
GTEX-14A5H-1626-SM-5SIAN,TISSUE
GTEX-Q2AI-0008-SM-48U2H,TISSUE
GTEX-13QBU-0126-SM-5LU3V,TISSUE
GTEX-ZP4G-1326-SM-5EGIW,TISSUE
GTEX-145LS-3026-SM-5O99S,TISSUE
GTEX-14E6E-1626-SM-5RQI7,TISSUE
GTEX-XLM4-1026-SM-4AT51,TISSUE
GTEX-QEL4-0626-SM-3GIJM,TISSUE
GTEX-139UC-0011-R6b-SM-5K7Z1,TISSUE
GTEX-145MI-3126-SM-5Q5CF,TISSUE
GTEX-QVJO-1325-SM-2S1QX,TISSUE
GTEX-ZF29-1226-SM-4WKH1,TISSUE
GTEX-QVUS-0011-R6A-SM-3GACX,TISSUE
GTEX-145LV-2326-SM-5LU8Z,TISSUE
GTEX-TMMY-1726-SM-4DXTD,TISSUE
GTEX-ZVP2-1626-SM-5GU5D,TISSUE
GTEX-144GN-1626-SM-5Q5BU,TISSUE
GTEX-13OVJ-1326-SM-5K7Z9,TISSUE
GTEX-U4B1-0008-SM-4DXUW,TISSUE
GTEX-S3XE-0006-SM-3K2AA,TISSUE
GTEX-ZAB4-1726-SM-5HL8C,TISSUE
GTEX-145LS-0011-R6b-SM-5PNWL,TISSUE
GTEX-11TUW-0226-SM-5LU8X,TISSUE
GTEX-XYKS-2526-SM-4BOPX,TISSUE
GTEX-R55C-1126-SM-48FCJ,TISSUE
GTEX-QV44-1026-SM-447CG,TISSUE
GTEX-13O3P-0226-SM-5KM3Z,TISSUE
GTEX-117YW-2826-SM-5H116,TISSUE
GTEX-12ZZW-0011-R6a-SM-5DUVZ,TISSUE
GTEX-ZY6K-1326-SM-5GZWP,TISSUE
GTEX-13G51-1226-SM-5K7Z3,TISSUE
GTEX-14A5I-1726-SM-5QGQ5,TISSUE
GTEX-131XF-0326-SM-5DUVR,TISSUE
GTEX-13OVH-0526-SM-5L3E6,TISSUE
GTEX-131XW-0426-SM-5LZWP,TISSUE
GTEX-QV44-1825-SM-447CF,TISSUE
GTEX-11TT1-1426-SM-5EGIA,TISSUE
GTEX-144GN-2326-SM-5LU4F,TISSUE
GTEX-ZAB4-0011-R1a-SM-4RGNO,TISSUE
GTEX-13PVR-0526-SM-5S2OB,TISSUE
GTEX-11ONC-1526-SM-5GU6S,TISSUE
GTEX-11NV4-2126-SM-5N9DS,TISSUE
GTEX-XUW1-0826-SM-4BOP6,TISSUE
GTEX-111CU-0526-SM-5EGHK,TISSUE
GTEX-XUZC-0226-SM-4BOO7,TISSUE
GTEX-R55F-0126-SM-48FCK,TISSUE
GTEX-11DXX-0126-SM-5EGH7,TISSUE
GTEX-14DAR-1526-SM-5RQIX,TISSUE
GTEX-WFON-1426-SM-4LVMT,TISSUE
GTEX-RU72-1026-SM-46MUG,TISSUE
GTEX-W5WG-2526-SM-4SOJ2,TISSUE
GTEX-QCQG-1326-SM-48U24,TISSUE
GTEX-QV31-1426-SM-2S1QD,TISSUE
GTEX-1117F-2426-SM-5EGGH,TISSUE
GTEX-146FQ-0626-SM-5LU9U,TISSUE
GTEX-ZDYS-0526-SM-5L3EE,TISSUE
GTEX-ZF29-0126-SM-4WKGZ,TISSUE
GTEX-13112-2926-SM-5DUWT,TISSUE
GTEX-QVUS-0011-R3A-SM-3GAFD,TISSUE
GTEX-XAJ8-0006-SM-46MVM,TISSUE
GTEX-131XF-1126-SM-5HL8J,TISSUE
GTEX-Y5LM-1326-SM-5RQIS,TISSUE
GTEX-PSDG-1026-SM-48TCV,TISSUE
GTEX-QCQG-0226-SM-48U28,TISSUE
GTEX-139TU-1326-SM-5LZXW,TISSUE
GTEX-13PLJ-0005-SM-5NQ99,TISSUE
GTEX-11I78-1426-SM-5PNVY,TISSUE
GTEX-13112-2826-SM-5DUWH,TISSUE
GTEX-QV44-1226-SM-4R1KE,TISSUE
GTEX-YFC4-0011-R10a-SM-4SOK5,TISSUE
GTEX-N7MT-0226-SM-48TC3,TISSUE
